道具,品阶,道具分类,适用职业,掉落来源(怪物),地图,刷新点位,道具属性,掉落概率,是否可制作,制作材料
传说武器制作秘笈,传说,材料,全职业,世界之树被污染的核心,古树之心,"32,21,0",无属性,0.01%,是,精灵神射手之弓 x1 (概率: 65.0%)
传说武器制作秘笈碎片,传说,材料,全职业,世界之树被污染的核心,古树之心,"32,21,0",无属性,0.01%,否,
传说武器制作秘笈碎片,传说,材料,全职业,世界之树被污染的核心,古树之心,"32,21,0",无属性,0.5%,否,
传说防具制作秘笈,传说,材料,全职业,世界之树被污染的核心,古树之心,"32,21,0",无属性,0.01%,是,贺洛斯臂甲 x1 (概率: 65.0%)
传说防具制作秘笈碎片,传说,材料,全职业,世界之树被污染的核心,古树之心,"32,21,0",无属性,0.01%,否,
传说防具制作秘笈碎片,传说,材料,全职业,世界之树被污染的核心,古树之心,"32,21,0",无属性,0.5%,否,
传说饰品制作秘笈,传说,材料,全职业,世界之树被污染的核心,古树之心,"32,21,0",无属性,0.01%,是,传说饰品制作秘笈碎片 x15 (概率: 100.0%)
传说饰品制作秘笈碎片,传说,材料,全职业,世界之树被污染的核心,古树之心,"32,21,0",无属性,0.01%,否,
传说饰品制作秘笈碎片,传说,材料,全职业,世界之树被污染的核心,古树之心,"32,21,0",无属性,0.5%,否,
树精的精髓,普通,材料,全职业,世界之树被污染的核心,古树之心,"32,21,0",无属性,0.001%,否,
武器魔法卷轴,普通,材料,全职业,世界之树被污染的核心,古树之心,"32,21,0",无属性,100%,否,
武器魔法卷轴,普通,材料,全职业,世界之树被污染的核心,古树之心,"32,21,0",无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,世界之树被污染的核心,古树之心,"32,21,0",无属性,100%,否,
盔甲魔法卷轴,普通,材料,全职业,世界之树被污染的核心,古树之心,"32,21,0",无属性,0.05%,否,
神奇的魔法防御头盔,普通,防具,全职业,世界之树被污染的核心,古树之心,"32,21,0",物理防御力（AC）: 4; 魔法防御（MR）: 1; 魔法伤害减少%（待使用）: 0.02,3.333333%,是,"材料ID:2036,2573,2096,2741 x1,84,336,36 (概率: 100.0%)"
稀有武器制作秘笈,稀有,材料,全职业,世界之树被污染的核心,古树之心,"32,21,0",无属性,0.01%,是,稀有武器制作秘笈碎片 x50 (概率: 100.0%)
稀有武器制作秘笈碎片,稀有,材料,全职业,世界之树被污染的核心,古树之心,"32,21,0",无属性,0.01%,否,
稀有武器制作秘笈碎片,稀有,材料,全职业,世界之树被污染的核心,古树之心,"32,21,0",无属性,100%,否,
稀有防具制作秘笈,稀有,材料,全职业,世界之树被污染的核心,古树之心,"32,21,0",无属性,0.01%,是,稀有防具制作秘笈碎片 x50 (概率: 100.0%)
稀有防具制作秘笈碎片,稀有,材料,全职业,世界之树被污染的核心,古树之心,"32,21,0",无属性,0.01%,否,
稀有防具制作秘笈碎片,稀有,材料,全职业,世界之树被污染的核心,古树之心,"32,21,0",无属性,100%,否,
稀有饰品制作秘笈,稀有,材料,全职业,世界之树被污染的核心,古树之心,"32,21,0",无属性,0.01%,是,稀有饰品制作秘笈碎片 x50 (概率: 100.0%)
稀有饰品制作秘笈碎片,稀有,材料,全职业,世界之树被污染的核心,古树之心,"32,21,0",无属性,0.01%,否,
稀有饰品制作秘笈碎片,稀有,材料,全职业,世界之树被污染的核心,古树之心,"32,21,0",无属性,100%,否,
精灵使耳环,普通,防具,全职业,世界之树被污染的核心,古树之心,"32,21,0",最大MP&固定值: 20; MP恢复tic: 4,0.01%,是,"材料ID:2042,2705,2097,2735 x1,84,232,6 (概率: 100.0%)"
英雄武器制作秘笈碎片,英雄,材料,全职业,世界之树被污染的核心,古树之心,"32,21,0",无属性,0.01%,否,
英雄武器制作秘笈碎片,英雄,材料,全职业,世界之树被污染的核心,古树之心,"32,21,0",无属性,100%,否,
英雄防具制作秘笈碎片,英雄,材料,全职业,世界之树被污染的核心,古树之心,"32,21,0",无属性,0.01%,否,
英雄防具制作秘笈碎片,英雄,材料,全职业,世界之树被污染的核心,古树之心,"32,21,0",无属性,100%,否,
英雄饰品制作秘笈碎片,英雄,材料,全职业,世界之树被污染的核心,古树之心,"32,21,0",无属性,0.01%,否,
英雄饰品制作秘笈碎片,英雄,材料,全职业,世界之树被污染的核心,古树之心,"32,21,0",无属性,100%,否,
安特的树皮,普通,材料,全职业,腐败僵尸剑士,古树之心,"22,11,0~43,26,0²; 13,20,0~30,38,0²; 21,33,0~39,49,0²; 28,22,0~47,41,0²",无属性,0.1%,否,
武器魔法卷轴,普通,材料,全职业,腐败僵尸剑士,古树之心,"22,11,0~43,26,0²; 13,20,0~30,38,0²; 21,33,0~39,49,0²; 28,22,0~47,41,0²",无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,腐败僵尸剑士,古树之心,"22,11,0~43,26,0²; 13,20,0~30,38,0²; 21,33,0~39,49,0²; 28,22,0~47,41,0²",无属性,0.05%,否,
老旧的身体腰带,普通,防具,全职业,腐败僵尸剑士,古树之心,"22,11,0~43,26,0²; 13,20,0~30,38,0²; 21,33,0~39,49,0²; 28,22,0~47,41,0²",最大HP&固定值: 30,0.4%,否,
银原石,普通,材料,全职业,腐败僵尸剑士,古树之心,"22,11,0~43,26,0²; 13,20,0~30,38,0²; 21,33,0~39,49,0²; 28,22,0~47,41,0²",无属性,0.1%,否,
魔物的精髓,普通,材料,全职业,腐败僵尸剑士,古树之心,"22,11,0~43,26,0²; 13,20,0~30,38,0²; 21,33,0~39,49,0²; 28,22,0~47,41,0²",无属性,0.0001%,否,
安特的树皮,普通,材料,全职业,腐败僵尸魔法师,古树之心,"22,11,0~43,26,0²; 13,20,0~30,38,0²; 21,33,0~39,49,0²; 28,22,0~47,41,0²",无属性,0.1%,否,
武器魔法卷轴,普通,材料,全职业,腐败僵尸魔法师,古树之心,"22,11,0~43,26,0²; 13,20,0~30,38,0²; 21,33,0~39,49,0²; 28,22,0~47,41,0²",无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,腐败僵尸魔法师,古树之心,"22,11,0~43,26,0²; 13,20,0~30,38,0²; 21,33,0~39,49,0²; 28,22,0~47,41,0²",无属性,0.05%,否,
老旧的精神腰带,普通,防具,全职业,腐败僵尸魔法师,古树之心,"22,11,0~43,26,0²; 13,20,0~30,38,0²; 21,33,0~39,49,0²; 28,22,0~47,41,0²",最大MP&固定值: 30,0.4%,否,
银原石,普通,材料,全职业,腐败僵尸魔法师,古树之心,"22,11,0~43,26,0²; 13,20,0~30,38,0²; 21,33,0~39,49,0²; 28,22,0~47,41,0²",无属性,0.1%,否,
魔物的精髓,普通,材料,全职业,腐败僵尸魔法师,古树之心,"22,11,0~43,26,0²; 13,20,0~30,38,0²; 21,33,0~39,49,0²; 28,22,0~47,41,0²",无属性,0.0001%,否,
安特的树皮,普通,材料,全职业,腐败恶魔清扫夫,古树之心,"22,11,0~43,26,0²; 13,20,0~30,38,0²; 21,33,0~39,49,0²; 28,22,0~47,41,0²",无属性,0.1%,否,
武器魔法卷轴,普通,材料,全职业,腐败恶魔清扫夫,古树之心,"22,11,0~43,26,0²; 13,20,0~30,38,0²; 21,33,0~39,49,0²; 28,22,0~47,41,0²",无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,腐败恶魔清扫夫,古树之心,"22,11,0~43,26,0²; 13,20,0~30,38,0²; 21,33,0~39,49,0²; 28,22,0~47,41,0²",无属性,0.05%,否,
银原石,普通,材料,全职业,腐败恶魔清扫夫,古树之心,"22,11,0~43,26,0²; 13,20,0~30,38,0²; 21,33,0~39,49,0²; 28,22,0~47,41,0²",无属性,0.1%,否,
古代神射臂甲,普通,防具,全职业,腐败恶魔猎人,古树之心,"22,11,0~43,26,0²; 13,20,0~30,38,0²; 21,33,0~39,49,0²; 28,22,0~47,41,0²",最大HP&固定值: 80; 额外攻击: 1,0.015625%,是,"材料ID:2041,2707,2097,2740 x1,84,276,30 (概率: 100.0%)"
安特的树皮,普通,材料,全职业,腐败恶魔猎人,古树之心,"22,11,0~43,26,0²; 13,20,0~30,38,0²; 21,33,0~39,49,0²; 28,22,0~47,41,0²",无属性,0.1%,否,
武器魔法卷轴,普通,材料,全职业,腐败恶魔猎人,古树之心,"22,11,0~43,26,0²; 13,20,0~30,38,0²; 21,33,0~39,49,0²; 28,22,0~47,41,0²",无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,腐败恶魔猎人,古树之心,"22,11,0~43,26,0²; 13,20,0~30,38,0²; 21,33,0~39,49,0²; 28,22,0~47,41,0²",无属性,0.05%,否,
老旧的灵魂腰带,普通,防具,全职业,腐败恶魔猎人,古树之心,"22,11,0~43,26,0²; 13,20,0~30,38,0²; 21,33,0~39,49,0²; 28,22,0~47,41,0²",最大HP&固定值: 15; 最大MP&固定值: 15,0.4%,否,
银原石,普通,材料,全职业,腐败恶魔猎人,古树之心,"22,11,0~43,26,0²; 13,20,0~30,38,0²; 21,33,0~39,49,0²; 28,22,0~47,41,0²",无属性,0.1%,否,
魔力的手套,普通,防具,法师,世界之树被污染的核心,古树之心,"32,21,0",最大MP&固定值: 25; 物理防御力（AC）: 1; 智力: 1; 背包负重: 180,0.01%,是,"材料ID:2041,2708,2097,2732 x1,80,240,12 (概率: 100.0%)"
巫术魔法杖,普通,武器,法师,腐败僵尸魔法师,古树之心,"22,11,0~43,26,0²; 13,20,0~30,38,0²; 21,33,0~39,49,0²; 28,22,0~47,41,0²",大型怪物攻击力&max: 3; 小型怪物攻击力&max: 2; 魔法伤害: 1; 攻击间隔: 0.88,0.4%,否,
老旧的智力T恤,普通,防具,法师,腐败僵尸魔法师,古树之心,"22,11,0~43,26,0²; 13,20,0~30,38,0²; 21,33,0~39,49,0²; 28,22,0~47,41,0²",智力: 1,0.08%,否,
被遗忘的旅人魔杖,普通,武器,法师,腐败僵尸魔法师,古树之心,"22,11,0~43,26,0²; 13,20,0~30,38,0²; 21,33,0~39,49,0²; 28,22,0~47,41,0²",大型怪物攻击力&max: 1; 小型怪物攻击力&max: 1; 攻击间隔: 0.88,0.4%,是,"材料ID:2040,2704,2097,2740 x1,100,300,50 (概率: 100.0%)"
深红长矛,普通,武器,王族/骑士,腐败僵尸剑士,古树之心,"22,11,0~43,26,0²; 13,20,0~30,38,0²; 21,33,0~39,49,0²; 28,22,0~47,41,0²",近战命中（待使用）: 4; 大型怪物攻击力&max: 19; 小型怪物攻击力&max: 19; 最大HP&固定值: 50; 攻击间隔: 0.96,0.08%,否,
老旧的力量T恤,普通,防具,王族骑士黑妖,腐败僵尸剑士,古树之心,"22,11,0~43,26,0²; 13,20,0~30,38,0²; 21,33,0~39,49,0²; 28,22,0~47,41,0²",力量: 1,0.08%,否,
精灵水晶（净化精神）,普通,技能书,精灵,腐败僵尸魔法师,古树之心,"22,11,0~43,26,0²; 13,20,0~30,38,0²; 21,33,0~39,49,0²; 28,22,0~47,41,0²",无属性,0.002%,是,书页 x300 (概率: 100.0%)
老旧的敏捷T恤,普通,防具,精灵,腐败恶魔猎人,古树之心,"22,11,0~43,26,0²; 13,20,0~30,38,0²; 21,33,0~39,49,0²; 28,22,0~47,41,0²",敏捷: 1,0.08%,否,
幽暗十字弓,普通,武器,精灵/黑妖,腐败恶魔猎人,古树之心,"22,11,0~43,26,0²; 13,20,0~30,38,0²; 21,33,0~39,49,0²; 28,22,0~47,41,0²",远程命中（待使用）: 5; 大型怪物攻击力&max: 2; 小型怪物攻击力&max: 3; 额外攻击: 2; 攻击间隔: 0.96,0.08%,否,
树精卡,普通,消耗品,需求等级1,世界之树被污染的核心,古树之心,"32,21,0",无属性,0.000001%,否,
金币,普通,未知分类,需求等级1,世界之树被污染的核心,古树之心,"32,21,0",无属性,100%,否,
金币,普通,未知分类,需求等级1,世界之树被污染的核心,古树之心,"32,21,0",无属性,0.1%,否,
污染的精灵水晶,普通,其他,需求等级1,腐败僵尸剑士,古树之心,"22,11,0~43,26,0²; 13,20,0~30,38,0²; 21,33,0~39,49,0²; 28,22,0~47,41,0²",无属性,1.25%,否,
金币,普通,未知分类,需求等级1,腐败僵尸剑士,古树之心,"22,11,0~43,26,0²; 13,20,0~30,38,0²; 21,33,0~39,49,0²; 28,22,0~47,41,0²",无属性,16.666667%,否,
污染的精灵水晶,普通,其他,需求等级1,腐败僵尸魔法师,古树之心,"22,11,0~43,26,0²; 13,20,0~30,38,0²; 21,33,0~39,49,0²; 28,22,0~47,41,0²",无属性,1.25%,否,
金币,普通,未知分类,需求等级1,腐败僵尸魔法师,古树之心,"22,11,0~43,26,0²; 13,20,0~30,38,0²; 21,33,0~39,49,0²; 28,22,0~47,41,0²",无属性,16.666667%,否,
金币,普通,未知分类,需求等级1,腐败恶魔清扫夫,古树之心,"22,11,0~43,26,0²; 13,20,0~30,38,0²; 21,33,0~39,49,0²; 28,22,0~47,41,0²",无属性,100%,否,
污染的精灵水晶,普通,其他,需求等级1,腐败恶魔猎人,古树之心,"22,11,0~43,26,0²; 13,20,0~30,38,0²; 21,33,0~39,49,0²; 28,22,0~47,41,0²",无属性,1.25%,否,
金币,普通,未知分类,需求等级1,腐败恶魔猎人,古树之心,"22,11,0~43,26,0²; 13,20,0~30,38,0²; 21,33,0~39,49,0²; 28,22,0~47,41,0²",无属性,16.666667%,否,
精灵盾牌,普通,防具,骑士/法师/精灵/黑妖,世界之树被污染的核心,古树之心,"32,21,0",物理防御力（AC）: 2,0.01%,否,
魔力短剑,普通,武器,骑士/法师/精灵/黑暗精灵/领主,世界之树被污染的核心,古树之心,"32,21,0",大型怪物攻击力&max: 4; 小型怪物攻击力&max: 6; 额外攻击: 1; 力量: 1; MP恢复tic: 1; 攻击间隔: 0.68; 未知属性: 2,0.01%,是,"材料ID:2040,2707,2097,2729 x1,100,300,50 (概率: 100.0%)"
矛,普通,武器,骑士/精灵/法师/领主,腐败僵尸剑士,古树之心,"22,11,0~43,26,0²; 13,20,0~30,38,0²; 21,33,0~39,49,0²; 28,22,0~47,41,0²",大型怪物攻击力&max: 8; 小型怪物攻击力&max: 6; 攻击间隔: 0.96,0.4%,否,
神圣的精灵盾牌,普通,防具,骑士/精灵/黑妖,世界之树被污染的核心,古树之心,"32,21,0",物理防御力（AC）: 3; 伤害减免: 2; 禁锢减少（概率）: 0.05,3.333333%,是,"材料ID:2036,2574,2096,2741 x1,28,386,36 (概率: 100.0%)"
世界树戒指,普通,防具,魔斗士,世界之树被污染的核心,古树之心,"32,21,0",物理防御力（AC）: 7; 昏迷增加（概率）: 0.1,1.666667%,是,"材料ID:2033,2576,2095,2745,2721 x1,400,200,3,50 (概率: 100.0%)"
黑暗精灵水晶（影之弱化）,普通,技能书,黑暗精灵,世界之树被污染的核心,古树之心,"32,21,0",无属性,0.004%,是,书页 x300 (概率: 100.0%)
瞬间移动卷轴,普通,消耗品,全职业,人形僵尸,古鲁丁,"760,174,0~849,302,0²; 682,85,0~760,201,0²; 615,85,0~682,201,0²; 418,58,0~615,154,0²; 327,156,0~425,264,0²; 425,155,0~517,253,0²; 517,155,0~615,253,0²; 615,201,0~687,326,0²; 687,201,0~760,327,0²; 517,253,0~615,350,0²; 425,253,0~517,350,0²; 327,264,0~425,351,0²; 328,351,0~425,431,0²; 425,351,0~595,430,0²; 425,430,0~509,509,0²; 328,431,0~426,509,0²; 210,166,0~327,269,0²; 171,269,0~327,323,0²; 215,323,0~328,410,0²; 216,410,0~328,494,0²; 125,290,0~215,347,0²; 148,464,0~257,576,0²; 257,494,0~328,557,0²",无属性,10%,否,
大盾牌,普通,防具,全职业,史巴托,古鲁丁,"607,659,0~719,723,0²",物理防御力（AC）: 2,1%,否,
武器魔法卷轴,普通,材料,全职业,史巴托,古鲁丁,"607,659,0~719,723,0²",无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,史巴托,古鲁丁,"607,659,0~719,723,0²",无属性,0.05%,否,
自我加速药水,普通,消耗品,全职业,史巴托,古鲁丁,"760,174,0~849,302,0²; 682,85,0~760,201,0²; 615,85,0~682,201,0²; 418,58,0~615,154,0²; 327,156,0~425,264,0²; 425,155,0~517,253,0²; 517,155,0~615,253,0²; 615,201,0~687,326,0²; 687,201,0~760,327,0²; 517,253,0~615,350,0²; 425,253,0~517,350,0²; 327,264,0~425,351,0²; 328,351,0~425,431,0²; 425,351,0~595,430,0²; 425,430,0~509,509,0²; 328,431,0~426,509,0²",无属性,2%,否,
自我加速药水,普通,消耗品,全职业,史巴托,古鲁丁,"607,659,0~719,723,0²",无属性,1%,否,
金属块,普通,材料,全职业,史巴托,古鲁丁,"760,174,0~849,302,0²; 682,85,0~760,201,0²; 615,85,0~682,201,0²; 418,58,0~615,154,0²; 327,156,0~425,264,0²; 425,155,0~517,253,0²; 517,155,0~615,253,0²; 615,201,0~687,326,0²; 687,201,0~760,327,0²; 517,253,0~615,350,0²; 425,253,0~517,350,0²; 327,264,0~425,351,0²; 328,351,0~425,431,0²; 425,351,0~595,430,0²; 425,430,0~509,509,0²; 328,431,0~426,509,0²",无属性,0.1%,否,
钢盔,普通,防具,全职业,史巴托,古鲁丁,"607,659,0~719,723,0²",物理防御力（AC）: 1,5%,否,
传说武器制作秘笈,传说,材料,全职业,咒术师斯科特,古鲁丁,"649,677,0",无属性,0.01%,是,精灵神射手之弓 x1 (概率: 65.0%)
传说武器制作秘笈碎片,传说,材料,全职业,咒术师斯科特,古鲁丁,"649,677,0",无属性,0.01%,否,
传说武器制作秘笈碎片,传说,材料,全职业,咒术师斯科特,古鲁丁,"649,677,0",无属性,0.1%,否,
传说防具制作秘笈,传说,材料,全职业,咒术师斯科特,古鲁丁,"649,677,0",无属性,0.01%,是,贺洛斯臂甲 x1 (概率: 65.0%)
传说防具制作秘笈碎片,传说,材料,全职业,咒术师斯科特,古鲁丁,"649,677,0",无属性,0.01%,否,
传说防具制作秘笈碎片,传说,材料,全职业,咒术师斯科特,古鲁丁,"649,677,0",无属性,0.1%,否,
传说饰品制作秘笈,传说,材料,全职业,咒术师斯科特,古鲁丁,"649,677,0",无属性,0.01%,是,传说饰品制作秘笈碎片 x15 (概率: 100.0%)
传说饰品制作秘笈碎片,传说,材料,全职业,咒术师斯科特,古鲁丁,"649,677,0",无属性,0.01%,否,
传说饰品制作秘笈碎片,传说,材料,全职业,咒术师斯科特,古鲁丁,"649,677,0",无属性,0.1%,否,
宝石,普通,材料,全职业,咒术师斯科特,古鲁丁,"649,677,0",无属性,0.833333%,否,
梅杜莎盾牌,普通,防具,全职业,咒术师斯科特,古鲁丁,"649,677,0",物理防御力（AC）: 2; 石化减少（效果）: 0.3,0.01%,否,
武器魔法卷轴,普通,材料,全职业,咒术师斯科特,古鲁丁,"649,677,0",无属性,100%,否,
武器魔法卷轴,普通,材料,全职业,咒术师斯科特,古鲁丁,"649,677,0",无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,咒术师斯科特,古鲁丁,"649,677,0",无属性,100%,否,
盔甲魔法卷轴,普通,材料,全职业,咒术师斯科特,古鲁丁,"649,677,0",无属性,0.05%,否,
稀有武器制作秘笈,稀有,材料,全职业,咒术师斯科特,古鲁丁,"649,677,0",无属性,0.01%,是,稀有武器制作秘笈碎片 x50 (概率: 100.0%)
稀有武器制作秘笈碎片,稀有,材料,全职业,咒术师斯科特,古鲁丁,"649,677,0",无属性,0.01%,否,
稀有武器制作秘笈碎片,稀有,材料,全职业,咒术师斯科特,古鲁丁,"649,677,0",无属性,100%,否,
稀有防具制作秘笈,稀有,材料,全职业,咒术师斯科特,古鲁丁,"649,677,0",无属性,0.01%,是,稀有防具制作秘笈碎片 x50 (概率: 100.0%)
稀有防具制作秘笈碎片,稀有,材料,全职业,咒术师斯科特,古鲁丁,"649,677,0",无属性,0.01%,否,
稀有防具制作秘笈碎片,稀有,材料,全职业,咒术师斯科特,古鲁丁,"649,677,0",无属性,100%,否,
稀有饰品制作秘笈,稀有,材料,全职业,咒术师斯科特,古鲁丁,"649,677,0",无属性,0.01%,是,稀有饰品制作秘笈碎片 x50 (概率: 100.0%)
稀有饰品制作秘笈碎片,稀有,材料,全职业,咒术师斯科特,古鲁丁,"649,677,0",无属性,0.01%,否,
稀有饰品制作秘笈碎片,稀有,材料,全职业,咒术师斯科特,古鲁丁,"649,677,0",无属性,100%,否,
英雄武器制作秘笈碎片,英雄,材料,全职业,咒术师斯科特,古鲁丁,"649,677,0",无属性,0.01%,否,
英雄武器制作秘笈碎片,英雄,材料,全职业,咒术师斯科特,古鲁丁,"649,677,0",无属性,4.166667%,否,
英雄防具制作秘笈碎片,英雄,材料,全职业,咒术师斯科特,古鲁丁,"649,677,0",无属性,0.01%,否,
英雄防具制作秘笈碎片,英雄,材料,全职业,咒术师斯科特,古鲁丁,"649,677,0",无属性,4.166667%,否,
英雄饰品制作秘笈碎片,英雄,材料,全职业,咒术师斯科特,古鲁丁,"649,677,0",无属性,0.01%,否,
英雄饰品制作秘笈碎片,英雄,材料,全职业,咒术师斯科特,古鲁丁,"649,677,0",无属性,4.166667%,否,
武器魔法卷轴,普通,材料,全职业,夏洛伯,古鲁丁,"607,659,0~719,723,0²",无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,夏洛伯,古鲁丁,"607,659,0~719,723,0²",无属性,0.05%,否,
瞬间移动卷轴,普通,消耗品,全职业,夏洛伯,古鲁丁,"607,659,0~719,723,0²",无属性,25%,否,
自我加速药水,普通,消耗品,全职业,夏洛伯,古鲁丁,"607,659,0~719,723,0²",无属性,2%,否,
武器魔法卷轴,普通,材料,全职业,多罗,古鲁丁,"419,723,0~480,861,0²; 481,723,0~567,801,0²; 480,801,0~550,902,0²; 548,901,0~646,975,0²; 550,854,0~646,901,0²; 550,801,0~646,854,0²; 567,723,0~645,801,0²; 645,723,0~720,830,0²; 646,830,0~722,940,0²",无属性,0.05%,否,
